Sno	Plant name	Plant Part	Plant Subpart	Therapeutic use	UMLS identifier	MeSH identifier	ICD11 identifier	Reference
264	Alpinia galanga	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-2, P-124, RIMP
265	Alpinia galanga	rhizome	rhizome	Antituberculars	C0003448	D000995	XM6DX3	Vol-2, P-124, RIMP
266	Alpinia galanga	rhizome	rhizome	Fungistat	C1529011			Vol-2, P-124, RIMP
267	Anethum graveolens	seed	seed	Anti-Bacterial Agents	C0279516	D000900		Vol-2, P-320, RIMP
268	Anethum graveolens	seed	seed	Antifungal Agents	C0003308	D000935		Vol-2, P-320, RIMP
269	Anethum graveolens	seed	seed	Fungistat	C1529011			Vol-2, P-320, RIMP
270	Anethum graveolens	seed	seed	Anti-Bacterial Agents	C0279516	D000900		Vol-2, P-321, RIMP
271	Anethum graveolens	seed	seed	Antifungal Agents	C0003308	D000935		Vol-2, P-321, RIMP
272	Anethum graveolens	seed	seed	Antinematodal Agents	C0003391			Vol-2, P-322, RIMP
273	Anethum graveolens	whole plant	herb	Antinematodal Agents	C0003391			Vol-2, P-322, RIMP
274	Apium graveolens	seed	seed	Tranquilizing Agents	C0040614	D014149		Vol-2, P-422, RIMP
275	Apium graveolens	seed	seed	Antifungal Agents	C0003308	D000935		Vol-2, P-423, RIMP
276	Artemisia absinthium	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-3, P-148, RIMP
277	Artemisia nilagirica	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-3, P-158, RIMP
278	Artemisia nilagirica	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-3, P-158, RIMP
279	Artemisia nilagirica	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-3, P-159, RIMP
280	Artemisia nilagirica	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		Vol-3, P-159, RIMP
281	Artemisia nilagirica	aerial part	aerial part	Antifungal Agents	C0003308	D000935		Vol-3, P-159, RIMP
282	Artemisia pallens	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		Vol-3, P-160, RIMP
283	Artemisia pallens	aerial part	aerial part	Antifungal Agents	C0003308	D000935		Vol-3, P-160, RIMP
284	Blumea eriantha	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-4, P-263, RIMP
285	Boswellia serrata	plant exudate	resin/gum	Anti-Bacterial Agents	C0279516	D000900		Vol-4, P-355, RIMP
286	Boswellia serrata	plant exudate	resin/gum	Antifungal Agents	C0003308	D000935		Vol-4, P-355, RIMP
287	Boswellia serrata	plant exudate	resin/gum	Antihelmintics	C0003158	D000871	XM4EC0	Vol-4, P-356, RIMP
288	Callicarpa macrophylla	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-5, P-116, RIMP
289	Melaleuca citrina	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-5, P-124, RIMP
291	Melaleuca citrina	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-5, P-125, RIMP
292	Melaleuca citrina	leaf	leaf	Fungistat	C1529011			Vol-5, P-125, RIMP
293	Melaleuca viminalis	leaf	leaf	Antihelmintics	C0003158	D000871	XM4EC0	Vol-5, P-127, RIMP
294	Cedrus deodara	wood	wood	Anti-Inflammatory Agents	C0003209	D000893		Vol-5, P-893, RIMP
295	Cedrus deodara	wood	wood	type iii hypersensitivity inhibition				Vol-5, P-893, RIMP
296	Cedrus deodara	wood	wood	type iv hypersensitivity inhibition				Vol-5, P-893, RIMP
297	Cedrus deodara	wood	wood	Analgesics		D000700		Vol-5, P-893, RIMP
298	Cedrus deodara	wood	wood	Sedative mixed	C0036557	D006993	XM5YQ4	Vol-5, P-893, RIMP
299	Cedrus deodara	wood	wood	motor coordinating activity				Vol-5, P-893, RIMP
300	Cedrus deodara	wood	wood	Antifungal Agents	C0003308	D000935		Vol-5, P-895, RIMP
301	Cedrus deodara	wood	wood	Antinematodal Agents	C0003391			Vol-5, P-896, RIMP
302	Celastrus paniculatus	seed	seed	Anticonvulsant specified	C0003286	D000927	XM80V1	Vol-5, P-922, RIMP
303	Celastrus paniculatus	seed	seed	Anti-Inflammatory Agents	C0003209	D000893		Vol-5, P-924, RIMP
304	Celastrus paniculatus	seed	seed	Anti-Bacterial Agents	C0279516	D000900		Vol-5, P-925, RIMP
307	Cinnamomum camphora	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-6, P-322, RIMP
308	Cinnamomum tamala	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-6, P-325, RIMP
309	Cinnamomum tamala	leaf	leaf	Antihelmintics	C0003158	D000871	XM4EC0	Vol-6, P-327, RIMP
310	Cinnamomum tamala	leaf	leaf	Antinematodal Agents	C0003391			Vol-6, P-327, RIMP
311	Citrus aurantium	fruit	fruit	Anti-Bacterial Agents	C0279516	D000900		Vol-6, P-501, RIMP
312	Citrus limon	fruit	fruit	Anti-Bacterial Agents	C0279516	D000900		Vol-6, P-503, RIMP
313	Citrus limon	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-6, P-504, RIMP
314	Citrus limon	fruit	fruit	Antifungal Agents	C0003308	D000935		Vol-6, P-504, RIMP
315	Citrus aurantium	fruit	fruit	Anti-Bacterial Agents	C0279516	D000900		Vol-6, P-510, RIMP
316	Citrus aurantium	fruit	fruit	Antifungal Agents	C0003308	D000935		Vol-6, P-511, RIMP
317	Coriandrum sativum	whole plant	herb	Anti-Bacterial Agents	C0279516	D000900		Vol-7, P-617, RIMP
318	Coriandrum sativum	seed	seed	Anti-Bacterial Agents	C0279516	D000900		Vol-7, P-617, RIMP
319	Coriandrum sativum	seed	seed	Antifungal Agents	C0003308	D000935		Vol-7, P-618, RIMP
320	Cuminum cyminum	seed	seed	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-259, RIMP
321	Cupressus torulosa	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-283, RIMP
322	Curcuma amada	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-341, RIMP
323	Curcuma amada	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-8, P-341, RIMP
324	Curcuma amada	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-8, P-342, RIMP
325	Curcuma amada	rhizome	rhizome	Antinematodal Agents	C0003391			Vol-8, P-342, RIMP
