Sno	Plant name	Plant Part	Plant Subpart	Odor	Color	Reference
210	Pleiospermium alatum	root	root		Pale yellow	https://doi.org/10.1080/10412905.2011.9712273
211	Pleiospermium alatum	stem	stem		Yellow	https://doi.org/10.1080/10412905.2011.9712273
212	Heptapleurum stellatum	leaf	leaf	pleasant	Pale yellow	https://doi.org/10.1080/10412905.2008.9699428
213	Heptapleurum stellatum	root	root	pleasant	Colourless	https://doi.org/10.1080/10412905.2008.9699428
214	Heptapleurum stellatum	stem	stem	pleasant	Colourless	https://doi.org/10.1080/10412905.2008.9699428
215	Eugenia argentea	leaf	leaf		Pale yellow	https://doi.org/10.1080/10412905.2011.9700458
216	Cinnamomum filipedicellatum	leaf	leaf	pleasant	Pale yellow	https://doi.org/10.1080/10412905.2006.9699073
217	Pittosporum viridulum	fruit	fruit		Colourless	https://doi.org/10.1080/10412905.2007.9699338
218	Pittosporum viridulum	leaf	leaf		Pale yellow	https://doi.org/10.1080/10412905.2007.9699338
219	Eugenia rottleriana	leaf	leaf		Pale yellow	https://doi.org/10.1080/10412905.2007.9699337
220	Amomum pterocarpum	leaf	leaf		Pale yellow	https://doi.org/10.1080/10412905.2007.9699220
221	Amomum pterocarpum	rhizome	rhizome	pleasant	Pale yellow	https://doi.org/10.1080/10412905.2007.9699220
222	Amomum hypoleucum	leaf	leaf		Pale yellow	https://doi.org/10.1080/10412905.2007.9699280
223	Amomum hypoleucum	rhizome	rhizome	pleasant	Pale yellow	https://doi.org/10.1080/10412905.2007.9699280
224	Cinnamomum chemungianum	leaf	leaf		Pale yellow	https://doi.org/10.1080/10412905.2007.9699238
225	Meistera muricata	leaf	leaf		Light yellow	https://doi.org/10.1080/10412905.2006.9699154
226	Neolitsea foliosa	leaf	leaf		Yellow	https://doi.org/10.1080/10412905.2007.9699962
227	Alpinia calcarata	rhizome	rhizome	pleasant	Pale yellow	https://doi.org/10.1080/10412905.2012.751058
228	Alpinia galanga	rhizome	rhizome	pleasant	Colourless	https://doi.org/10.1080/10412905.2012.751058
229	Alpinia haenkei	rhizome	rhizome	pleasant	Pale yellow	https://doi.org/10.1080/10412905.2012.751058
230	Alpinia smithiae	rhizome	rhizome	pleasant	Reddish brown	https://doi.org/10.1080/10412905.2012.751058
231	Hedychium larsenii	flower	inflorescence	pleasant	Colourless	https://doi.org/10.1080/10412905.2012.744701
232	Hedychium larsenii	leaf	leaf		Pale yellow	https://doi.org/10.1080/10412905.2012.744701
233	Thottea ponmudiana	leaf	leaf		Colourless	https://doi.org/10.1080/10412905.2008.9700059
